,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/roc,test/f1,test/accuracy,test/prc
bace_spectra_tanimoto_0.00_0,0.0,1210,303,0.175286633376612,0.8317460417747498,0.7465753555297852,0.7557755708694458,0.74071204662323
bace_spectra_tanimoto_0.00_1,0.0,1210,303,0.1754373029166323,0.8821889162063599,0.8271186351776123,0.8316831588745117,0.8482635617256165
bace_spectra_tanimoto_0.00_2,0.0,1210,303,0.1748460916621078,0.8928635120391846,0.8219178318977356,0.8283828496932983,0.8304932117462158
bace_spectra_tanimoto_0.05_0,0.05,600,151,0.1608073086180999,0.8979963064193726,0.7642276287078857,0.807947039604187,0.8563498258590698
bace_spectra_tanimoto_0.05_1,0.05,612,153,0.1617293181659994,0.9537398815155028,0.8592592477798462,0.8758170008659363,0.9276264905929564
bace_spectra_tanimoto_0.05_2,0.05,608,153,0.1592275476543891,0.919366717338562,0.8034188151359558,0.8496732115745544,0.8417688608169556
bace_spectra_tanimoto_0.10_0,0.1,344,86,0.1528823594563021,0.923645317554474,0.8253968358039856,0.8720930218696594,0.7902432680130005
bace_spectra_tanimoto_0.10_1,0.1,339,85,0.1495388944961732,0.9736841917037964,0.8059701323509216,0.8470588326454163,0.9592931270599364
bace_spectra_tanimoto_0.10_2,0.1,350,88,0.1487048195802913,0.94818377494812,0.8493150472640991,0.875,0.9270853996276855
bace_spectra_tanimoto_0.15_0,0.15,225,57,0.1440523944289029,0.9193121790885924,0.7368420958518982,0.8245614171028137,0.8420771360397339
bace_spectra_tanimoto_0.15_1,0.15,231,58,0.1455309121167001,0.94062077999115,0.75,0.8275862336158752,0.8867997527122498
bace_spectra_tanimoto_0.15_2,0.15,224,57,0.1498252857776708,0.9735449552536012,0.9230769276618958,0.9473684430122375,0.9665560722351074
bace_spectra_tanimoto_0.20_0,0.2,151,38,0.1426076287107672,0.994397759437561,0.9411764740943908,0.9473684430122375,0.9930675625801086
bace_spectra_tanimoto_0.20_1,0.2,156,40,0.1414534431643911,0.9310344457626344,0.782608687877655,0.875,0.7096569538116455
bace_spectra_tanimoto_0.20_2,0.2,152,38,0.1419733805909359,0.9887954592704772,0.9189189076423644,0.921052634716034,0.9873759150505066
bace_spectra_tanimoto_0.25_0,0.25,97,25,0.1376071532307024,0.9679487347602844,0.9090909361839294,0.9200000166893004,0.9693834781646729
bace_spectra_tanimoto_0.25_1,0.25,93,24,0.1362727786135746,0.9571428298950196,0.800000011920929,0.8333333134651184,0.9382864236831664
bace_spectra_tanimoto_0.25_2,0.25,104,27,0.1376771408994574,0.9545454382896424,0.9090909361839294,0.92592591047287,0.8997081518173218
bace_spectra_tanimoto_0.30_0,0.3,79,20,0.1353248773450302,0.9791666269302368,0.9411764740943908,0.949999988079071,0.9685019850730896
bace_spectra_tanimoto_0.30_1,0.3,75,19,0.1356732799972632,0.9777777194976808,0.8571428656578064,0.8421052694320679,0.978787899017334
bace_spectra_tanimoto_0.30_2,0.3,64,17,0.1405876564882171,1.0,0.75,0.8823529481887817,1.0
bace_spectra_tanimoto_0.35_0,0.35,56,15,0.1308251365096914,0.8518518209457397,0.7692307829856873,0.800000011920929,0.7246031761169434
bace_spectra_tanimoto_0.35_1,0.35,54,14,0.1309212901172224,0.8541666269302368,0.6666666865348816,0.7142857313156128,0.8282738327980042
bace_spectra_tanimoto_0.35_2,0.35,52,14,0.1266450246008902,1.0,1.0,1.0,1.0
bace_spectra_tanimoto_0.40_0,0.4,37,10,0.1384887396936511,0.8333333730697632,0.75,0.800000011920929,0.5791666507720947
bace_spectra_tanimoto_0.40_1,0.4,41,11,0.1316390857720765,0.7857142686843872,0.6666666865348816,0.8181818127632141,0.7795138955116272
bace_spectra_tanimoto_0.40_2,0.4,42,11,0.1311068549957596,0.9285714626312256,0.7692307829856873,0.7272727489471436,0.9587584733963012
bace_spectra_tanimoto_0.45_0,0.45,33,9,0.1262132557471945,1.0,0.800000011920929,0.8888888955116272,1.0
bace_spectra_tanimoto_0.45_1,0.45,35,9,0.1334797935744179,1.0,1.0,1.0,1.0
bace_spectra_tanimoto_0.45_2,0.45,31,8,0.131006650209726,1.0,1.0,1.0,1.0
bace_spectra_tanimoto_0.50_0,0.5,29,8,0.1182215985119607,1.0,1.0,1.0,1.0
bace_spectra_tanimoto_0.50_1,0.5,28,8,0.1098980251938766,1.0,0.6666666865348816,0.875,1.0
bace_spectra_tanimoto_0.50_2,0.5,28,8,0.1295977932122476,1.0,0.800000011920929,0.875,1.0
bace_spectra_tanimoto_0.55_0,0.55,22,6,0.1219224475945861,0.6000000238418579,0.0,0.6666666865348816,0.1666666716337204
bace_spectra_tanimoto_0.55_1,0.55,20,5,0.1201519499343931,0.6666666865348816,0.5,0.6000000238418579,0.7638888955116272
bace_spectra_tanimoto_0.55_2,0.55,17,5,0.1333991242679071,0.0,0.0,0.800000011920929,0.5
bace_spectra_tanimoto_0.60_0,0.6,15,4,0.1228737074897465,1.0,1.0,1.0,1.0
bace_spectra_tanimoto_0.60_1,0.6,15,4,0.1284121951841768,0.0,0.0,0.5,0.5
bace_spectra_tanimoto_0.60_2,0.6,16,5,0.1197296021069763,1.0,1.0,1.0,1.0
bace_spectra_tanimoto_0.65_0,0.65,12,3,0.1360447127070821,0.0,0.0,1.0,0.5
bace_spectra_tanimoto_0.65_1,0.65,13,4,0.1195813444042782,0.75,0.6666666865348816,0.75,0.7916666865348816
bace_spectra_tanimoto_0.65_2,0.65,13,4,0.1284275280337952,1.0,1.0,1.0,1.0
bace_spectra_tanimoto_0.70_0,0.7,10,3,0.1242263350256533,0.5,0.5,0.3333333432674408,0.7916666865348816
bace_spectra_tanimoto_0.70_1,0.7,10,3,0.1122606982191714,0.0,0.0,0.6666666865348816,0.5
bace_spectra_tanimoto_0.70_2,0.7,10,3,0.1455123113841868,1.0,1.0,1.0,1.0
bace_spectra_tanimoto_0.75_0,0.75,8,2,0.1426177896891159,1.0,1.0,1.0,1.0
bace_spectra_tanimoto_0.75_1,0.75,8,2,0.1131362995496706,1.0,0.6666666865348816,0.5,1.0
bace_spectra_tanimoto_0.75_2,0.75,10,3,0.1405551650607956,1.0,1.0,1.0,1.0
bace_spectra_tanimoto_0.80_0,0.8,7,2,0.1390142979493935,0.0,0.0,0.0,0.25
bace_spectra_tanimoto_0.80_1,0.8,6,2,0.1407130032820453,1.0,1.0,1.0,1.0
bace_spectra_tanimoto_0.80_2,0.8,9,3,0.1188633571811482,1.0,0.0,0.6666666865348816,1.0
bace_spectra_tanimoto_0.85_0,0.85,7,2,0.1595897663867524,0.0,0.0,0.0,0.5
bace_spectra_tanimoto_0.85_1,0.85,5,2,0.1644906321048625,0.0,0.0,0.0,1.0
bace_spectra_tanimoto_0.85_2,0.85,5,2,0.1269180603728927,0.0,0.0,1.0,0.5
bace_spectra_tanimoto_0.90_0,0.9,4,2,0.1525006316139673,0.0,0.0,0.5,0.5
bace_spectra_tanimoto_0.90_1,0.9,5,2,0.0703442975260843,0.0,0.0,1.0,0.5
bace_spectra_tanimoto_0.95_2,0.95,4,2,0.13380513036811736,0.0,0.0,1.0,0.5
