,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/rmse,test/mae,test/r2
freesolv_spectra_tanimoto_0.00_0,0.0,512,129,0.0783847327941085,2.17383337020874,1.6736996173858645,0.6584247350692749
freesolv_spectra_tanimoto_0.00_1,0.0,512,129,0.0780825453812713,1.5284022092819214,1.0602233409881592,0.8318157196044922
freesolv_spectra_tanimoto_0.00_2,0.0,512,129,0.0766044861808604,1.138615369796753,0.8232845067977905,0.913888156414032
freesolv_spectra_tanimoto_0.05_0,0.05,354,89,0.0694176870074436,1.0424673557281494,0.7653975486755371,0.9247944951057434
freesolv_spectra_tanimoto_0.05_1,0.05,333,84,0.0679786018221503,0.9702568650245668,0.6667515635490417,0.9070303440093994
freesolv_spectra_tanimoto_0.05_2,0.05,341,86,0.0688067540479996,1.019763469696045,0.7204515933990479,0.8983869552612305
freesolv_spectra_tanimoto_0.10_0,0.1,221,56,0.0548266699166953,1.1785926818847656,0.7429174780845642,0.9385110139846802
freesolv_spectra_tanimoto_0.10_1,0.1,208,52,0.059620061690533,0.90854412317276,0.616987943649292,0.9379636645317078
freesolv_spectra_tanimoto_0.10_2,0.1,217,55,0.0623601597148485,1.1893357038497925,0.8236951231956482,0.9106940031051636
freesolv_spectra_tanimoto_0.15_0,0.15,144,36,0.0511176355930074,0.7108727097511292,0.5255749225616455,0.9655831456184388
freesolv_spectra_tanimoto_0.15_1,0.15,138,35,0.0527855307880395,0.5960304737091064,0.4571900367736816,0.9691579937934875
freesolv_spectra_tanimoto_0.15_2,0.15,143,36,0.0520061535484325,1.0426385402679443,0.6258516907691956,0.9282785654067992
freesolv_spectra_tanimoto_0.20_0,0.2,103,26,0.0459549335380251,0.9544233083724976,0.531116783618927,0.9572152495384216
freesolv_spectra_tanimoto_0.20_1,0.2,108,28,0.0459663541596374,0.5965770483016968,0.4034044444561004,0.955662727355957
freesolv_spectra_tanimoto_0.20_2,0.2,112,29,0.0442171621617903,0.7493434548377991,0.5089336633682251,0.9747536778450012
freesolv_spectra_tanimoto_0.25_0,0.25,79,20,0.0426955482037224,0.8576841950416565,0.5888320803642273,0.9405999779701232
freesolv_spectra_tanimoto_0.25_1,0.25,84,21,0.0415912490956496,1.2091847658157349,0.7543530464172363,0.946561634540558
freesolv_spectra_tanimoto_0.25_2,0.25,79,20,0.0427049437278709,0.4296923577785492,0.3247078061103821,0.9922224283218384
freesolv_spectra_tanimoto_0.30_0,0.3,53,14,0.0461801628361793,0.6976617574691772,0.557792603969574,0.9365901350975036
freesolv_spectra_tanimoto_0.30_1,0.3,60,15,0.0483333426508233,0.7847102880477905,0.4814632833003998,0.984238624572754
freesolv_spectra_tanimoto_0.30_2,0.3,53,14,0.0435063410949009,0.5863097310066223,0.5180045366287231,0.94349205493927
freesolv_spectra_tanimoto_0.35_0,0.35,42,11,0.045263341365441,0.7408124804496765,0.5804323554039001,0.9759217500686646
freesolv_spectra_tanimoto_0.35_1,0.35,38,10,0.0364753694929584,0.4696145355701446,0.3329955637454986,0.9772245287895204
freesolv_spectra_tanimoto_0.35_2,0.35,40,10,0.0372928305886359,1.2821247577667236,0.851971447467804,0.967032551765442
freesolv_spectra_tanimoto_0.40_0,0.4,40,10,0.0343683323026244,0.4418094158172607,0.3277294933795929,0.9765090942382812
freesolv_spectra_tanimoto_0.40_1,0.4,39,10,0.0295262614135504,0.5653107166290283,0.3909696638584137,0.9554429054260254
freesolv_spectra_tanimoto_0.40_2,0.4,28,8,0.0502119932635916,0.7213969230651855,0.6490169763565063,0.9551435708999634
freesolv_spectra_tanimoto_0.45_0,0.45,27,7,0.030101859652064,0.6969087719917297,0.5010415315628052,0.92461895942688
freesolv_spectra_tanimoto_0.45_1,0.45,27,7,0.0417617850469706,0.5388643741607666,0.4444182217121124,0.9860836267471312
freesolv_spectra_tanimoto_0.45_2,0.45,24,7,0.0448673995894947,0.8699195981025696,0.8429516553878784,0.9635287523269652
freesolv_spectra_tanimoto_0.50_0,0.5,24,6,0.0305915578766481,0.6425085067749023,0.4744534790515899,0.9576560854911804
freesolv_spectra_tanimoto_0.50_1,0.5,24,6,0.0337962338439095,0.5719355344772339,0.4089917242527008,0.9794490337371826
freesolv_spectra_tanimoto_0.50_2,0.5,24,6,0.0356365511180309,0.647179365158081,0.4485706388950348,0.9548628330230712
freesolv_spectra_tanimoto_0.55_0,0.55,19,5,0.0186661460031767,0.6245575547218323,0.4679059088230133,0.9368982911109924
freesolv_spectra_tanimoto_0.55_1,0.55,20,6,0.0289367777591964,1.2005256414413452,0.9264039993286132,0.9167292714118958
freesolv_spectra_tanimoto_0.55_2,0.55,17,5,0.0219612353450106,0.6316189765930176,0.5503541827201843,0.9762616753578186
freesolv_spectra_tanimoto_0.60_0,0.6,16,4,0.0294416818118564,0.3082634210586548,0.2128897309303283,0.9751267433166504
freesolv_spectra_tanimoto_0.60_1,0.6,14,4,0.024677838534727,1.1275631189346311,0.913559913635254,0.9082252383232116
freesolv_spectra_tanimoto_0.60_2,0.6,16,5,0.0351663769824719,0.7364420294761658,0.6279219388961792,0.9474897980690002
freesolv_spectra_tanimoto_0.65_0,0.65,16,4,0.0272620752796335,0.6774488687515259,0.6548923254013062,0.8665938973426819
freesolv_spectra_tanimoto_0.65_1,0.65,13,4,0.0280311401060259,2.2931697368621826,1.6125091314315796,0.94208824634552
freesolv_spectra_tanimoto_0.65_2,0.65,13,4,0.0306498531165524,0.6298291087150574,0.4961980283260345,0.7559952735900879
freesolv_spectra_tanimoto_0.70_0,0.7,15,4,0.0257000603360252,0.8586764335632324,0.7685064673423767,0.8927452564239502
freesolv_spectra_tanimoto_0.70_1,0.7,13,4,0.0322567707259002,0.6429522037506104,0.633698582649231,0.8219481110572815
freesolv_spectra_tanimoto_0.70_2,0.7,9,3,0.0282937191528922,1.4199639558792114,1.0817893743515017,0.9399465918540956
freesolv_spectra_tanimoto_0.75_0,0.75,11,3,0.0125679688572039,0.8620816469192505,0.7798874378204346,0.916351556777954
freesolv_spectra_tanimoto_0.75_1,0.75,12,4,0.011820818070818,0.8804928660392761,0.7638057470321655,0.9427921175956726
freesolv_spectra_tanimoto_0.75_2,0.75,11,3,0.0426189799591334,1.2916555404663086,0.9853522777557372,-3.6628732681274414
freesolv_spectra_tanimoto_0.80_0,0.8,10,3,0.0092156862745098,0.2690030336380005,0.2471670359373092,0.994069516658783
freesolv_spectra_tanimoto_0.80_1,0.8,12,3,0.042211353378468,0.6372219324111938,0.6319277286529541,0.9177692532539368
freesolv_spectra_tanimoto_0.80_2,0.8,10,3,0.0178086419753086,0.2821349501609802,0.2648647725582123,0.9968127608299256
freesolv_spectra_tanimoto_0.85_0,0.85,9,3,0.0409919298808187,0.6553426384925842,0.6504528522491455,0.7537544965744019
freesolv_spectra_tanimoto_0.85_1,0.85,9,3,0.0081400081400081,0.8067413568496704,0.6920921206474304,0.965054452419281
freesolv_spectra_tanimoto_0.85_2,0.85,11,3,0.0083122895622895,2.30541467666626,1.509626388549805,-2.3638381958007812
freesolv_spectra_tanimoto_0.90_0,0.9,8,3,0.0088383838383838,1.3576558828353882,1.1128658056259155,0.8243789076805115
freesolv_spectra_tanimoto_0.90_1,0.9,9,3,0.0139433551198257,1.965221285820007,1.4567564725875854,0.7238327264785767
freesolv_spectra_tanimoto_0.90_2,0.9,9,3,0.0176366843033509,0.7461875677108765,0.6374837756156921,0.9618852734565736
freesolv_spectra_tanimoto_0.95_0,0.95,7,2,0.0026455026455026,0.097639761865139,0.0957711338996887,0.8642433881759644
freesolv_spectra_tanimoto_0.95_1,0.95,8,3,0.0130208333333333,2.381178855895996,1.5816863775253296,0.4780349731445312
freesolv_spectra_tanimoto_0.95_2,0.95,9,3,0.0128824476650563,3.605212450027466,2.882100820541382,0.4445619583129883
freesolv_spectra_tanimoto_1.00_0,1.0,8,2,0.0,2.197683572769165,1.604264736175537,0.6481529474258423
freesolv_spectra_tanimoto_1.00_1,1.0,7,2,0.0,1.1004465818405151,1.0806177854537964,0.7240885496139526
freesolv_spectra_tanimoto_1.00_2,1.0,7,2,0.0,1.1199363470077515,0.8162587881088257,0.0348893404006958
